,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
CRWD,0.26713334848569165,0.747754784365059,-0.22194678942775672,0.204564613071864,-0.22114902118918575,0.18021763625446646,-0.2201845304954821,0.09289260436799318,0.023834985654216857,-0.11580355625089458,0.09500221074013841,0.1419261038094982,-0.0513774044427636,-0.02760917536264714,-0.014779884302241069,-0.13587060787883662,-0.009835973909532062,0.015949903334576115,0.09442699626548248,-0.03313478903002812,0.008319306568442328,-0.10730157938647078,0.04098015706638196,0.05643366658440772,0.06895997694735827,0.022564989618502247,0.08485011838332343,-0.06623519447352243,0.11447592922593246,-0.015380116921298178,-0.01780552403050407,0.019231736896002063,-0.02264639006549522,0.07003312409467782,0.03078915182712185,-0.059485005864216955,0.04383624507431182,0.04771869343036812,-0.00490111837284147,-0.05185963284559634,-0.012795610439143583
DDOG,0.10139477919612151,0.7328373511140945,-0.16239791496410177,0.19455991933962463,-0.06998524409118234,0.20684063853114446,-0.15238191567778087,0.24984001789883084,0.08848644704466505,-0.20080144345967468,0.03407805871437785,0.03124223821333784,-0.055789348866758896,-0.004578118451688969,0.025555353059240716,0.33393970360702246,-0.12253134796514238,0.05895146386559434,-0.10236791291997173,0.0697363467698883,0.028943528557221102,0.07050435967122357,0.06957511187393785,-0.008501498206935435,-0.06729498608853066,-0.0829178542717597,0.022426573066062612,0.113570833896666,-0.08065573969977692,0.07807311593731882,-0.02396467174170483,0.011222376199866949,-0.0079595300215664,0.03744789459249976,0.04018542774808489,0.03469654396702811,-0.021424315230887454,-0.02066551993627711,0.012541082947198122,-0.006822973695991142,-0.03868097646477273
PANW,0.24505680797978907,0.7019672084468097,-0.21797497274287386,0.1792654226798928,-0.14054234098834495,0.1555916087534954,-0.2253759694656832,0.19739406299451412,0.04449151986855214,-0.09590974203398299,0.09608516439963526,0.29662040543814433,0.07340892925006735,0.04168824113220325,-0.10341487364330489,-0.1589697671545697,0.005773474673545791,-0.028586621497402986,0.06137726176578213,-0.1826512771403477,-0.04330620382288977,-0.13207357126960198,-0.07388184728106485,-0.0018128993945595651,0.025515534353490438,0.05487162338864291,0.017808311223759955,0.028770301775153932,-0.03793035069861288,0.03984372137367453,-0.024308660597990403,0.016526156710546244,0.05123948273559974,-0.009576259270098829,-0.03168192117891481,0.028662232550692824,-0.003153807696972759,-0.028588334544873608,-0.0005211351632396304,0.07112258302004726,0.0211676359710618
WDAY,-0.17587074914362938,0.8654979522779428,-0.14042718752125827,-0.1350433823356014,-0.10544292051255054,-0.08825026178908173,0.21008868609162046,-0.09178973265755387,-0.027461474905758294,0.07315795154050943,-0.04176127712174814,-0.02678926613466756,-0.04367256168231891,0.012313775280884528,-0.01433606110156805,0.018026178961063493,-0.08615708241566557,-0.08173111446269421,-0.008235159756442118,-0.0012646283635324588,-0.02222155591163814,0.1848263579382127,0.06755111883442126,-0.09851192766359447,0.05850173990511814,0.04360293001514858,-0.03923862239700163,0.05652796516175573,0.04316398843040542,0.03240076914203492,0.014735785208160575,0.08212592116101916,-0.0001355113837925411,0.0763453931771167,-0.00461979941451762,0.07223055614144835,0.04041398573450884,-0.017159559419920107,-0.007072540159485137,-0.02258616578346852,0.053072233969821116
TEAM,0.0038811857113942505,0.80065790182495,-0.09260678303407552,-0.061882592747012966,-0.006119950435475341,-0.11015538518570783,0.2957907509043569,-0.05617455499670455,0.047564555275111865,0.031582450307611816,0.12481344175247304,-0.16217048674278253,0.007902205505473525,-0.11993955801365845,0.038258932668592836,0.13713484638985765,0.15977472071106033,0.2125518656373878,-0.10458118091935922,-0.08571531192794231,-0.06427901889015558,-0.048285512123984395,0.032812580626614775,0.09924392120282788,0.02609137746926551,0.13534198768294117,-0.10512632568329086,0.03665696921281222,0.004446674195323603,-0.024603078029383524,-0.04459283958667402,-0.03277195662107541,0.14074186176177836,0.0019254726613587043,-0.03366875775693284,-0.03163533358995595,0.009917272282754809,-0.0016593890352442895,-0.0033489878998719403,-0.010439451918773445,-0.01493863935939329
NOW,0.05041441915015818,0.9092778292121667,-0.10388127007735029,-0.05556258471940585,-0.05360738634877563,-0.018084219414308832,0.06844901413474998,-0.037441708988188015,0.0662858473656087,0.15848608238589804,-0.11229107075070441,-0.07948325532139631,0.06329268868540909,0.0948687620628991,-0.08079969393461278,-0.11109231430858053,-0.032128484384046745,-0.029442755596536075,0.04397679225302108,-0.08086022919376308,0.07320583200494153,-0.014804093895887233,-0.034147025795764965,0.010810346985065866,0.06873713828165577,0.06833311991892141,0.06813896754852945,-0.005204745653596358,-0.005495136804208965,-0.08319228601657827,0.023623617386451093,-0.0749922365198935,-0.038629368251776194,-0.08310588178984915,0.01784971095477587,0.08712507381443252,-0.023332291420138766,-0.01887548155899213,0.06353325520664031,-0.032788849685822165,-0.02099414120640625
HUBS,-0.09395288891250296,0.790970061833899,-0.060785706905020755,-0.015763987925448787,0.2289978206435543,-0.04317804264152975,0.1681089619468801,-0.0815368410975303,0.04237166297217614,0.25373409973965605,0.12203512973984486,0.019447326148441656,-0.0960400009978242,0.12973439456664987,0.1825608016932347,0.041669014300252154,-0.009272834395691624,0.1087139220540079,-0.10099404335378176,-0.056136665130634346,0.10988867824644517,-0.005461482673354524,-0.013793055730868099,-0.20817778363284575,0.12183303196018318,-0.013013147913006664,0.013495554268778904,-0.13510363920861426,-0.03521814614209337,0.06552538184760455,0.006779115088728484,0.01184009221648432,-0.05483484533466663,-0.021212748445885152,0.044513224601950195,-0.048555801541129026,0.00722461063525275,-0.0019516994611215855,-0.02411339998518113,0.03340898541214168,-0.01446576350098036
SHOP,0.18993613788785912,0.679277746669189,0.2781111764573966,-0.12111123925360844,0.19095946728923333,0.11636607849573276,-0.049630569653393145,0.048657160865850244,-0.08465508675003172,-0.017581172093927434,0.08656506306602918,-0.15478775594244168,0.05814867514451938,-0.17846678529618074,-0.16280457900862955,0.2671060721920274,0.18103027893469734,0.02799182205621128,0.2746609113973707,0.06214092799044917,-0.1402079617076558,0.023313229442941192,-0.03287356584349817,-0.01700877717027013,0.08747396460555912,-0.13009247206500443,0.08196439607013094,-0.10197746796088167,-0.04488823083437331,-0.04553291636240802,0.03956694625938258,0.004917877279580029,0.01183373702948079,0.010361639646348647,-0.023785403326497017,0.009977922325275428,-0.025670176478129938,0.006674400355776562,-0.004781708017177455,0.005351402608853881,0.013328440434944985
ADBE,-0.10852944970615777,0.8393598684602117,-0.0916069079511525,-0.09959238098034995,-0.039775433431366566,-0.1551685221253429,0.21783018475612018,-0.02017147062641118,-0.013987622809573387,0.1647142312883386,0.03989549016904856,0.040397769855464886,-0.06490645806933604,0.00036139773445425366,0.006230213038871986,-0.1271009185420499,0.03824754209655591,-0.024239091451812814,-0.00787335336042059,0.1973092293752324,0.05604314040257327,0.02427910143813451,0.04458247796644775,0.07606281656244278,-0.12357607290818894,-0.019303461496241625,0.1659264739515758,0.15453999132565796,-0.03972191029519974,-0.10598414725689327,0.04957839025094785,0.008807947636010055,-0.011685171124998582,0.0013943533288525217,0.004952699068227306,-0.0634964099227553,-0.0011037895983937427,0.02079433389303254,-0.0060476096821386535,0.03529001722086107,0.007214577197340096
MDB,0.12742566514805012,0.7639745085148305,-0.16977060397332447,0.02953933728251754,0.23686465562283854,0.019599223212451243,-0.3100543606464345,0.09049058977097436,-0.1447728494428686,-0.10533623603130962,-0.01885868702622504,0.01667977036870633,-0.07368170263244501,0.000730728904472172,0.11803051731026071,0.03702858918321936,-0.003123724570654367,-0.10808835582224513,-0.020895626059992265,0.10271296557621971,0.03758626884977578,0.14930065553158853,0.03621356476587248,0.1858730350581113,-0.071515925026527,0.1021804561693655,-0.17241954212811442,-0.126805865228108,0.018370355401395883,-0.03399412805768968,0.046645837855164324,-0.06259593715146095,-0.06381557602360614,-0.0069417824950113146,-0.003728249445713646,-0.011885723921942155,-0.009961742113416685,-0.007394243815141697,-0.007236112889028049,0.01849700908342954,0.012694666131407965
