,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
ENPH,0.7098024472806058,-0.2177747659681736,-0.07814554589363637,-0.10029165098914652,0.07073003289497815,0.32261320484023587,0.10832087424859568,-0.11194713632028558,-0.3367377282549018,0.21713568350770168,0.24844556128740897,0.07289774720688888,0.21019709850783427,-0.08903546486224939,0.01264131009331189,-0.08039865486053649,0.05957639625274377,-0.09517823500078319,0.01789691903936675,-3.0268735789250405e-09,-1.5954951630645332e-09,-2.6131104125856763e-09,-4.213213273950104e-09,-1.2318711693366053e-09,3.523129936496142e-10,1.6415109743583191e-09,2.5784862977919347e-09,4.473360399360389e-09,-7.450170225025037e-10,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
CRWD,0.5370225521311531,0.6518629801595758,-0.06265991009323275,-0.2777661994562488,0.02334242502444051,-0.2477950051370832,0.05244412438799575,-0.13374815816129607,-0.07750968435432942,0.2671577814307226,-0.09706284813993589,-0.16642132952500135,-0.00020681599624765092,0.04905109368872808,0.029870288746128904,-0.00540772468452601,-0.052581556785136006,-0.02750967488151456,0.04083502235699548,-4.687858376132646e-09,-7.200270444041944e-10,-3.4124907848058844e-09,5.726840357974752e-09,-7.034696881379928e-10,-1.3550727368867734e-09,9.0612278818255e-10,-5.045350168313623e-09,-2.239683258045907e-09,-5.784770370708371e-10,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
DDOG,0.3319191608700568,0.800460886669008,-0.2547547683826878,-0.04099984867812818,-0.17263187497099494,-0.1427400147212358,0.25802401667963226,-0.08319520458099015,0.10802207318684363,-0.031115382635929754,0.13360044603519033,-0.06928031709697102,0.05036513159950375,-0.01023805051546028,-0.11608835511511859,0.03893868519591684,0.052007606555737246,0.05275739280045938,0.02070378239254303,-8.031112666120289e-09,8.17817423535138e-09,-8.004038336307678e-10,-6.929544178729735e-09,2.2606167631327138e-09,-1.6387839163327916e-09,2.5065566178980615e-10,-2.3607492664889727e-09,1.8925933100562413e-09,-1.0294253488191484e-09,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
PANW,0.41559379341167724,0.6949187616175484,-0.1792357480869303,-0.1899042194196974,-0.04380099724794714,0.017151292860951333,0.20660932592504427,-0.34077197464234965,-0.04437108867580575,0.16180442712022386,-0.07861019756462723,-0.11723566086271238,-0.15379575238606888,0.12600154464869104,0.03950348329266435,-0.08630244370777738,-0.07416552943682478,0.04211762857442002,-0.10615644893227057,1.096158760703619e-08,-1.265794485334758e-09,-4.188052898497969e-09,-3.5062996603156706e-09,-2.561699151609897e-09,-6.427205829649598e-09,-3.32570443745923e-09,9.071947961138574e-10,1.9800411306388498e-09,-6.169424601703191e-10,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
WDAY,-0.06614084780889404,0.8927934697167594,-0.16863568583010413,-0.2045355079890338,0.11621232239227434,0.11605540806071914,-0.15525092683991615,0.1153164711101521,0.02575407095700194,-0.11613675039566607,-0.0645935616935106,0.1360234956572071,0.012703551522174079,0.08382545093458968,0.018596133206722952,0.10470816299888928,0.08395612351578509,-0.01612678657034298,0.035572422279576806,1.3388027994311207e-08,-3.012142574316158e-09,4.763614249398895e-09,4.767636249030707e-09,-1.651843131181741e-09,-4.08549478701662e-09,4.148794469420702e-09,3.009076583078564e-09,7.535549761765681e-10,-7.984926390511174e-10,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
TEAM,0.04565799975235295,0.8989831905892495,-0.022519254422078614,-0.20149231284941413,0.09590964928287506,0.21803145382683403,-0.03561698051784997,0.07976418078617746,0.035673498572662866,-0.0710228557525415,0.19585835175696623,0.009938537036673682,-0.06226920958289207,0.026704667539314286,0.12642569525313646,-0.08890779021499737,0.07859769937402233,-0.06587376623348182,0.022345511205034956,-4.67735966499439e-09,-3.034459271837402e-09,1.0832225708103574e-08,1.206043336554593e-09,-5.759602071546698e-10,-1.6163456928472832e-09,-2.204237212923176e-09,2.8186404699426134e-09,2.2802542054933225e-09,1.9964319137932897e-09,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
NOW,0.15416091337373342,0.8943876142929823,-0.13034637895238682,-0.04978029821102524,0.28031684859570266,0.14586465073402732,-0.004280305681924382,0.1424487600648881,-0.02690792474669173,0.033765401472666746,-0.019744556061033616,-0.14696312122755678,-0.000943006766258027,0.11168424697087243,0.00476335497427516,0.0010194216172304336,0.011531541037500617,-0.01173273749163063,-0.007223677884895766,-1.1681142381518376e-08,-6.4903237960550635e-09,5.197865603407002e-09,-4.790026154070249e-09,-1.6337802554961571e-09,3.757415197676614e-09,-2.1528184485768667e-09,1.457069896497163e-09,-1.1332870910626644e-09,-2.6360374763247516e-09,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
HUBS,0.031524388294038114,0.9289163450554411,-0.16152955067574684,0.08814495841998622,-0.08801223136226242,-0.015585332568719955,-0.023492488334425892,0.044342615410972,0.00011496002425234213,-0.061276148672138646,0.09224776126655122,-0.026031528624055125,0.15198643864217812,0.14201177428323336,-0.09049902933616004,-0.13152299822166102,0.07344355478031361,-0.042482232225929284,0.053439003545353546,-1.135278588297735e-09,1.1044612737686744e-08,-5.983604406913255e-09,2.7239271083495773e-09,-8.49043466299805e-10,-1.8098729567436303e-09,3.943070334695526e-09,9.80569440876584e-11,-4.183964096444283e-09,1.5226920270495729e-09,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
SHOP,0.42808611936629165,0.6852388148176898,0.362055769914022,0.16768973666567144,0.28498123967551275,0.04151599914586395,-0.021038833905837624,-0.0484767722058214,-0.14718583210260858,0.04404601068328774,0.0833860271689349,-0.11973606853114581,-0.04189674016308546,-0.1345907969362832,0.013408527764014308,0.15548193770651597,-0.004148142215564762,-0.049695426702298665,-0.10320047590152115,9.4912428608044e-09,1.0573377746442132e-09,4.067337145656681e-09,-3.343893726174216e-09,7.227895461118504e-10,4.019122447807119e-09,8.56553095565839e-09,3.604420253844371e-10,-8.735668096376862e-10,-6.146666929880583e-11,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
ADBE,-0.15019661961125366,0.8758530598205728,-0.1048490696085568,-0.06347852991257658,0.15207521640288077,0.052254896487846904,-0.035615099279550644,0.15726837413685965,-0.0022723257245898898,0.14133610922107648,0.03032089450132173,0.10419961174978246,0.23020819292489036,-0.11844572601443672,0.10337078767233007,0.13495451219040214,-0.12341173225971674,0.0011937315208615433,0.022956951574310512,1.0529482992280965e-08,6.0154094409133815e-09,-2.988418282085556e-09,4.188454839892699e-09,6.109326664236434e-09,3.5539922633976276e-09,-3.905307624037094e-09,-2.4403386818036597e-09,-1.0740524850278673e-09,2.699607318468991e-09,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
