date,MU,SK Hynix,Samsung,SNDK,NVDA,AMD,AVGO,MRVL,CRDO,INTC,QCOM,CBRS,AMAT,LRCX,KLAC,LITE,COHR,AAOI,VRT,BE,ENPH,CRWD,DDOG,PANW,WDAY,TEAM,NOW,HUBS,SHOP,ADBE,MDB,U,CDNS,AMZN,GOOG,TSLA,DELL,UBER,IONQ,NKE,LULU,AS
2025-07-03,121.99797821044922,277341.0625,63078.78125,46.40999984741211,159.12803649902344,137.91000366210938,273.6107482910156,74.97730255126953,93.61000061035156,22.489999771118164,158.86166381835938,,189.65870666503906,98.33535766601562,918.6591186523438,92.75,90.9000015258789,28.65999984741211,127.72589874267578,24.239999771118164,42.56999969482422,514.0999755859375,155.14999389648438,201.82000732421875,241.75999450683594,213.52999877929688,208.93800354003906,560.8599853515625,116.5199966430664,379.30999755859375,211.33999633789062,26.1299991607666,326.80999755859375,223.41000366210938,180.03590393066406,315.3500061035156,123.34452819824219,93.62999725341797,44.38999938964844,74.34976196289062,247.67999267578125,38.869998931884766
2025-07-07,119.74624633789062,269872.28125,61002.5234375,45.220001220703125,158.02951049804688,134.8000030517578,272.616455078125,71.35708618164062,92.7300033569336,22.0,154.8267059326172,,189.3906707763672,97.6685791015625,906.7757568359375,91.08000183105469,88.05000305175781,26.440000534057617,126.14730834960938,24.360000610351562,42.459999084472656,505.4599914550781,152.41000366210938,201.4199981689453,241.2100067138672,216.0500030517578,207.0019989013672,555.5800170898438,116.66000366210938,376.92999267578125,210.00999450683594,27.860000610351562,320.29998779296875,223.47000122070312,177.05441284179688,293.94000244140625,122.90126037597656,96.68000030517578,45.20000076293945,74.48603057861328,237.57000732421875,38.310001373291016
2025-07-08,124.2397232055664,280826.5,60705.91015625,46.16999816894531,159.78717041015625,137.82000732421875,270.25,71.75601196289062,93.36000061035156,23.59000015258789,156.15863037109375,,193.5700225830078,99.35047149658203,913.3334350585938,91.30999755859375,90.4000015258789,26.8799991607666,125.77764129638672,24.299999237060547,40.939998626708984,507.7099914550781,145.94000244140625,203.99000549316406,240.47000122070312,219.36000061035156,204.5959930419922,557.4199829101562,112.4800033569336,382.239990234375,208.89999389648438,29.399999618530273,323.2799987792969,219.36000061035156,174.6612548828125,297.80999755859375,122.5269546508789,97.4800033569336,44.970001220703125,71.94573974609375,238.5399932861328,37.81999969482422
2025-07-09,122.0628890991211,279830.6875,59717.21875,46.20000076293945,162.66334533691406,138.41000366210938,276.31524658203125,72.065185546875,97.58999633789062,23.440000534057617,156.0607147216797,,193.9670867919922,99.33055877685547,917.2681274414062,90.44000244140625,91.25,27.920000076293945,128.25543212890625,28.709999084472656,42.849998474121094,513.510009765625,142.75,206.05999755859375,240.1699981689453,220.88999938964844,202.74200439453125,560.5499877929688,114.31999969482422,373.3800048828125,217.1199951171875,29.350000381469727,322.9100036621094,222.5399932861328,177.1541290283203,295.8800048828125,124.73340606689453,96.63999938964844,45.560001373291016,71.59535217285156,235.88999938964844,38.5
2025-07-10,122.93162536621094,295764.0625,60310.4375,46.95000076293945,163.88172912597656,144.16000366210938,273.8294677734375,73.16221618652344,97.29000091552734,23.81999969482422,155.80606079101562,,196.58786010742188,100.5745620727539,922.6732788085938,92.62000274658203,93.72000122070312,28.25,120.61225891113281,25.850000381469727,42.970001220703125,487.1099853515625,137.49000549316406,192.07000732421875,229.3000030517578,200.0500030517578,193.6179962158203,553.77001953125,115.16000366210938,371.42999267578125,209.27000427246094,29.15999984741211,322.6600036621094,222.25999450683594,178.19114685058594,309.8699951171875,125.9942398071289,96.4000015258789,45.93000030517578,72.62704467773438,238.52000427246094,38.13999938964844
2025-07-11,124.34957122802734,293274.5,61892.34765625,46.09000015258789,164.7006378173828,146.4199981689453,272.8153076171875,72.57331848144531,98.5199966430664,23.43000030517578,154.209716796875,,196.48858642578125,101.24134826660156,918.6591186523438,92.98999786376953,93.30000305175781,28.399999618530273,123.1899642944336,25.399999618530273,41.86000061035156,478.45001220703125,137.3699951171875,187.38999938964844,223.3699951171875,187.00999450683594,187.75599670410156,524.27001953125,112.11000061035156,363.3500061035156,202.50999450683594,28.93000030517578,320.6000061035156,225.02000427246094,180.79371643066406,313.510009765625,124.93040466308594,95.38999938964844,41.810001373291016,70.690185546875,236.50999450683594,38.13999938964844
2025-07-14,118.43814849853516,298751.59375,61793.4765625,42.47999954223633,163.85177612304688,146.24000549316406,274.0283508300781,72.37368774414062,98.69999694824219,23.299999237060547,151.1051483154297,,195.66464233398438,99.1414794921875,915.9367065429688,92.23999786376953,94.5199966430664,29.4950008392334,124.60868835449219,25.959999084472656,41.97999954223633,476.17999267578125,138.8000030517578,190.72000122070312,224.75999450683594,191.61000061035156,192.3560028076172,538.5999755859375,116.73999786376953,366.989990234375,201.52999877929688,29.219999313354492,317.489990234375,225.69000244140625,182.28945922851562,316.8999938964844,123.78777313232422,93.88999938964844,42.40999984741211,70.32034301757812,228.88999938964844,39.0099983215332
2025-07-15,119.93596649169922,297257.84375,62979.9140625,42.720001220703125,170.4729461669922,155.61000061035156,279.337890625,72.27388763427734,102.58999633789062,22.920000076293945,151.1149444580078,,197.8386993408203,100.58450317382812,930.5326538085938,98.13999938964844,96.06999969482422,29.239999771118164,127.2563247680664,25.309999465942383,40.25,473.2799987792969,140.55999755859375,192.25,224.9199981689453,187.69000244140625,191.38400268554688,528.9099731445312,115.05000305175781,364.17999267578125,208.66000366210938,29.690000534057617,318.0400085449219,226.35000610351562,182.57864379882812,310.7799987792969,123.80748748779297,92.20999908447266,41.470001220703125,70.0672836303711,222.19000244140625,39.41999816894531
2025-07-16,116.26130676269531,294768.21875,63968.609375,41.36000061035156,171.14207458496094,160.0800018310547,279.2086181640625,70.71681213378906,101.19000244140625,22.690000534057617,150.8896942138672,,193.39132690429688,99.88787841796875,927.5120849609375,99.62999725341797,97.81999969482422,28.985000610351562,125.28807830810547,24.690000534057617,39.029998779296875,470.45001220703125,139.36000061035156,192.58999633789062,226.72999572753906,190.4499969482422,193.3939971923828,541.530029296875,120.0,361.7699890136719,209.63999938964844,33.939998626708984,314.5799865722656,223.19000244140625,183.24673461914062,321.6700134277344,121.71923828125,90.75,43.540000915527344,70.17434692382812,226.11000061035156,39.27000045776367
2025-07-17,113.09589385986328,268378.5,65946.0,41.52000045776367,172.76988220214844,160.41000366210938,284.8164978027344,71.8746337890625,98.44999694824219,22.799999237060547,149.4598388671875,,191.1179962158203,100.30586242675781,931.0791015625,102.63999938964844,100.27999877929688,29.420000076293945,131.00296020507812,24.309999465942383,38.7400016784668,469.8299865722656,143.14999389648438,196.27999877929688,230.88999938964844,190.6199951171875,191.8300018310547,528.5999755859375,126.75,366.45001220703125,218.52999877929688,36.52000045776367,320.8599853515625,223.8800048828125,184.174072265625,319.4100036621094,122.02458190917969,90.5,44.84000015258789,71.03084564208984,233.30999755859375,39.150001525878906
