symbol,name,sector,market_cap_bn,close,day_ret_pct,n_detectors,detectors,trend,rev_growth
AES,The AES Corporation Common Stock,Utilities,10.5,14.77,-0.2,1,squeeze_release,up,0.087
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,Consumer Defensive,44.0,129.02,-0.36,1,squeeze_release,up,0.061
SUI,"Sun Communities, Inc. Common Stock",Real Estate,15.0,121.46,-0.42,1,squeeze_release,down,0.086
ELAN,Elanco Animal Health Incorporated Common Stock,Healthcare,12.9,25.83,-0.46,1,squeeze_release,up,0.149
DG,Dollar General Corporation Common Stock,Consumer Defensive,27.7,125.75,-1.11,1,squeeze_release,up,0.034
EWBC,"East West Bancorp, Inc. Common Stock",Financial Services,18.4,134.52,-1.19,1,squeeze_release,up,0.141
IDXX,"IDEXX Laboratories, Inc. Common Stock",Healthcare,44.8,567.44,-1.5,1,squeeze_release,down,0.143
AVY,Avery Dennison Corporation Common Stock,Consumer Cyclical,12.3,160.41,-1.63,1,squeeze_release,down,0.07
COF,Capital One Financial Corporation Common Stock,Financial Services,128.2,208.03,-1.84,1,squeeze_release,up,0.463
TPR,"Tapestry, Inc. Common Stock",Consumer Cyclical,28.6,141.46,-1.89,1,squeeze_release,weak,0.212
XPO,"XPO, Inc. Common Stock",Industrials,25.2,215.02,-1.95,1,squeeze_release,weak,0.073
LOW,"Lowe's Companies, Inc. Common Stock",Consumer Cyclical,117.0,208.73,-3.44,1,squeeze_release,down,0.103
