date,price,ret,f1,f2,regime,pBear,pNeutral,pBull
2001-11-21,1137.030029296875,-0.004939282246342103,-0.0007338886769977293,0.0063808710560515685,1.0,0.005851491042070703,0.7957568985489673,0.19839161040896208
2001-11-23,1150.3399658203125,0.011637895729166736,0.0014132565834843902,0.008135241564888962,1.0,0.006870656353629386,0.963151029714015,0.029978313932355685
2001-11-26,1157.4200439453125,0.00613590694733368,0.003270011299449216,0.007939429043540325,1.0,0.007983045126381785,0.9712168312919208,0.02080012358169735
2001-11-27,1149.5,-0.0068663628661314036,-0.00027124852960085376,0.007718968568787694,1.0,0.006541518733652261,0.9860696551933041,0.007388826073043688
2001-11-28,1128.52001953125,-0.018420008155056955,-0.0024903701182060088,0.010515896566549233,1.0,0.017989660937687266,0.9820089851610162,1.3539012966219739e-06
2001-11-29,1140.199951171875,0.010296585725125595,0.0005568034760875306,0.01152391545917438,1.0,0.03836061378725205,0.9616383421171827,1.0440955652700868e-06
2001-11-30,1139.449951171875,-0.000657995796888855,-0.0019023748291235876,0.010123739226385257,1.0,0.020704273156909224,0.9792895078394973,6.219003593505828e-06
2001-12-03,1129.9000244140625,-0.00841649215393847,-0.004812854649378018,0.009464837730277731,1.0,0.015847373024204983,0.9841513376939948,1.2892818004751505e-06
2001-12-04,1144.800048828125,0.013100837071863936,-0.00081941466177895,0.011703515768495276,1.0,0.044433064828915084,0.955566734730628,2.0044045702128737e-07
2001-12-05,1170.3499755859375,0.02207283660109205,0.007279154289450851,0.010688326230002253,1.0,0.05466580667200663,0.9452887825465216,4.541078147209795e-05
2001-12-06,1167.0999755859375,-0.002780809995694966,0.004663675145286738,0.011216915094413388,1.0,0.056797993621301994,0.9431879169642413,1.4089414456862556e-05
2001-12-07,1158.31005859375,-0.007559921671188796,0.0032832899704267502,0.012170987984025643,1.0,0.10538620758555306,0.89461308931636,7.030980869513032e-07
2001-12-10,1139.9300537109375,-0.015995192716303563,0.001767549857953732,0.013884901116238666,0.0,0.5206193380007528,0.47938066120524336,7.940036492142799e-10
2001-12-11,1136.760009765625,-0.002784784846049604,-0.001409574525628976,0.012694582706644137,0.0,0.6386776881707743,0.36132230974939417,2.079831326787481e-09
2001-12-12,1137.0699462890625,0.00027261187630323036,-0.00576961947058674,0.005694177897385658,1.0,0.2118003482832952,0.7869593037427627,0.001240347973941858
2001-12-13,1119.3800048828125,-0.015679766197094658,-0.008349410710866678,0.006604842488386285,1.0,0.06525496387346787,0.9347387241372104,6.311989321844698e-06
2001-12-14,1123.0899658203125,0.0033088196236992218,-0.006175662451889075,0.00812138972842634,1.0,0.020029909433932288,0.9799643266321779,5.763933889620223e-06
2001-12-17,1134.3599853515625,0.009984817742794583,-0.0009796603600694454,0.008479747784256156,1.0,0.008626838949694625,0.9906693724380736,0.0007037886122318989
2001-12-18,1142.9200439453125,0.007517827232349283,0.001080862055610332,0.00902497280072153,1.0,0.008639165976229638,0.9905691441280926,0.0007916898956779328
2001-12-19,1149.56005859375,0.005792881874600475,0.0021849160552697812,0.00919462730642415,1.0,0.00964105533756331,0.9894722818184212,0.000886662844015458
2001-12-20,1139.9300537109375,-0.008412407306602532,0.0036383878333682063,0.006407797530036355,1.0,0.008935565454885596,0.8576811645672101,0.13338326997790403
2001-12-21,1144.8900146484375,0.004341671186717022,0.0038449581459717662,0.006410491115815192,1.0,0.006758066002797665,0.6282128912134205,0.36502904278378184
2001-12-24,1144.6500244140625,-0.0002096405663660761,0.0018060664841396345,0.005717140553382936,2.0,0.0023341689903849123,0.223812260867772,0.7738535701418431
2001-12-26,1149.3699951171875,0.004115027177954644,0.0011255064732607067,0.0051733888223182145,2.0,0.00041811008914172804,0.037065849701244304,0.962516040209614
2001-12-27,1157.1300048828125,0.006728843741586665,0.0013126988466579449,0.005352710528633579,2.0,0.00011497812859418498,0.01452634116422203,0.9853586807071838
2001-12-28,1161.02001953125,0.0033561402487247705,0.003666408357723405,0.0022430234406184955,2.0,0.00011499010891770866,0.0011212187714973192,0.9987637911195848
2001-12-31,1148.0799560546875,-0.011208002315409082,0.0005564736572981843,0.0062863250720282095,2.0,0.00019034155501335132,0.04416485239730057,0.9556448060476862
2002-01-02,1154.6700439453125,0.005723683319385664,0.0017431384344485323,0.006582730022987053,2.0,0.00010835226654875092,0.0284555410036322,0.9714361067298192
2002-01-03,1165.27001953125,0.009138209660629393,0.002747774930983482,0.007220476750956862,2.0,0.0002179216938359932,0.053820189269118156,0.9459618890370459
2002-01-04,1172.510009765625,0.006193921832063687,0.002640790549078886,0.007164442949102917,2.0,0.0002581078774365709,0.06372100597790596,0.9360208861446574
2002-01-07,1164.8900146484375,-0.006520083881542682,0.0006655457230253959,0.008006848923032448,2.0,0.0010284036032509093,0.3285662690177607,0.6704053273789884
2002-01-08,1160.7099609375,-0.003594821341844856,0.0021881819177382413,0.006101239676991906,2.0,0.00036153574996690267,0.07839025131370858,0.9212482129363246
2002-01-09,1155.1400146484375,-0.004810291761542018,8.138690155270467e-05,0.006331059397255846,2.0,0.00020295896826405047,0.05944662716022076,0.9403504138715152
2002-01-10,1156.550048828125,0.0012199164384814054,-0.0015022717428768927,0.00462907988621182,2.0,9.13417729300031e-05,0.018129662305700962,0.981778995921369
2002-01-11,1145.5999755859375,-0.009512981955861477,-0.004643652500461925,0.003542333135589736,2.0,0.000340464328366261,0.043260283805283496,0.9563992518663502
2002-01-14,1138.4100341796875,-0.006295913875495884,-0.004598818499252566,0.0035196460817158116,2.0,0.00043194967659780295,0.052040663645953604,0.9475273866774486
2002-01-15,1146.18994140625,0.00681076545850523,-0.002517701139182549,0.005821595849383653,2.0,0.00038199024850547175,0.1120600562379022,0.8875579535135926
2002-01-16,1127.5699462890625,-0.016378520405579522,-0.00483134686799005,0.008118576813083062,1.0,0.003023697921025801,0.9822988085482395,0.014677493530734763
2002-01-17,1138.8800048828125,0.009980500536555859,-0.003079230048375159,0.009969753422558335,1.0,0.004438681683932304,0.9955363819453952,2.493637067238968e-05
2002-01-18,1127.5799560546875,-0.009971623285767173,-0.003170958314356298,0.010030451306805013,1.0,0.004714895299005944,0.9952699875298382,1.511717115598836e-05
2002-01-22,1119.31005859375,-0.0073612279647568,-0.0033840211322084812,0.010105600434938508,1.0,0.004945054294432534,0.9950447588625642,1.0186843003311844e-05
2002-01-23,1128.1800537109375,0.00789328604523476,-0.0031675170148625755,0.0103307832629789,1.0,0.005393488909377107,0.9945989740232598,7.537067363074245e-06
2002-01-24,1132.1500244140625,0.003512738978946217,0.0008107348620425725,0.00805714817669394,1.0,0.0033300967322120152,0.9831854668373036,0.013484436430484558
2002-01-25,1133.280029296875,0.0009976074738462515,-0.000985843750499349,0.006699254122637193,1.0,0.002836245065513541,0.9459796804431351,0.05118407449135124
2002-01-28,1133.06005859375,-0.00019411976604111203,0.0009696569534458632,0.0050032530816226896,2.0,0.0022203799102053666,0.3982551393460479,0.5995244807437468
2002-01-29,1100.6400146484375,-0.029030147003949125,-0.0033641268543926016,0.013128890969843685,1.0,0.03209430336374838,0.9679056054638957,9.117235572201877e-08
2002-01-30,1113.5699462890625,0.011679180242277099,-0.002606948014984134,0.013845894949247534,1.0,0.08816864717105818,0.9118313520414767,7.874649951781838e-10
2002-01-31,1130.199951171875,0.014823542663659595,-0.0003447872780414585,0.015487599007746634,1.0,0.4711403882500138,0.5288596117277649,2.2221221356262592e-11
2002-02-01,1122.199951171875,-0.0071035641868597565,-0.00196502161018266,0.01568490905489609,0.0,0.8876147902100149,0.11238520978949491,4.901264123951347e-13
2002-02-04,1094.43994140625,-0.025048237435489895,-0.006935845144072417,0.018089970628901393,0.0,0.9996489943116815,0.0003510056883181193,9.778483514312286e-23
2002-02-05,1090.02001953125,-0.0040467007733511196,-0.0019391558979528155,0.014363771441934452,0.0,0.9528789501910636,0.04712104976234238,4.659417541667702e-11
2002-02-06,1083.510009765625,-0.0059902823008499695,-0.005473048406578229,0.012649902883200507,0.0,0.8116460434699475,0.18835395615896255,3.7108983541096126e-10
2002-02-07,1080.1700439453125,-0.003087303473981784,-0.009055217634106504,0.008120107175520792,1.0,0.2863858855225362,0.7136136420791198,4.7239834405340966e-07
2002-02-08,1096.219970703125,0.014749394743924782,-0.004684625847949597,0.012625537289111945,1.0,0.19834814039875187,0.8016518572194192,2.381828889613076e-09
2002-02-11,1111.93994140625,0.014238313259156143,0.0031726842909796105,0.009292311807728042,1.0,0.0319960065993654,0.9643338073987977,0.0036701860018367913
2002-02-12,1107.5,-0.004000961905916256,0.003181832064466583,0.009285220022191914,1.0,0.008371940267110673,0.9876768049683842,0.003951254764505135
2002-02-13,1118.510009765625,0.009892228247223578,0.006358334174081293,0.008264713679732024,1.0,0.008984292621553215,0.9703130176318459,0.020702689746601145
2002-02-14,1116.47998046875,-0.0018165896617015065,0.0066124769365373485,0.00798515907748302,1.0,0.009591640485536396,0.9529278704824451,0.03748048903201872
2002-02-15,1104.1800537109375,-0.011077834836375366,0.0014470310204773185,0.009296691552627913,1.0,0.004658918653117268,0.9916771752964842,0.003663906050398605
2002-02-19,1083.3399658203125,-0.019054196735831752,-0.005211470978520261,0.009665894298788481,1.0,0.004853593055658781,0.9951427088320589,3.698112282371655e-06
2002-02-20,1097.97998046875,0.013423280246380287,-0.001726622548060952,0.01226552356044748,1.0,0.014935556843106566,0.9850642175183313,2.2563856224468407e-07
