ticker,algorithm,entry_date,entry_price,outcome,breakout_class,days_to_resolve,fwd_return_%,max_favorable_%,max_adverse_%
CIEN,donchian_20,2025-05-01,71.43,true,confirmed,7,12.1,16.9,-1.1
CIEN,donchian_20,2025-05-27,82.35,false,marginal,7,-3.5,4.7,-14.1
CIEN,donchian_20,2025-07-16,84.12,true,confirmed,9,12.5,16.7,-1.1
CIEN,donchian_20,2025-09-04,116.92,true,confirmed,4,30.6,31.4,-2.8
CIEN,donchian_20,2025-09-26,141.93,true,confirmed,4,26.2,27.6,0.8
CIEN,donchian_20,2025-10-15,168.71,false,confirmed,5,24.2,26.9,-5.4
CIEN,donchian_20,2025-11-05,195.81,true,confirmed,3,-0.0,9.4,-14.1
CIEN,donchian_20,2025-12-09,214.35,true,confirmed,2,5.1,21.8,-5.9
CIEN,donchian_20,2026-01-06,254.19,false,confirmed,2,-0.3,12.5,-15.0
CIEN,donchian_20,2026-02-03,276.52,false,confirmed,1,24.2,32.3,-13.7
CIEN,donchian_20,2026-02-19,318.41,true,confirmed,2,29.6,30.9,-12.6
CIEN,donchian_20,2026-03-17,370.05,true,confirmed,1,28.6,38.8,-2.3
CIEN,donchian_20,2026-04-02,447.76,false,confirmed,2,19.5,22.8,-5.9
CIEN,donchian_20,2026-05-01,535.29,true,confirmed,3,3.6,11.9,-3.7
CIEN,darvas_box,2021-12-07,62.97,true,confirmed,2,19.7,24.3,-1.6
CIEN,darvas_box,2021-12-22,75.73,false,fakeout,16,-14.3,3.4,-14.5
CIEN,darvas_box,2024-01-18,51.33,true,confirmed,12,11.1,12.5,-1.4
CIEN,darvas_box,2024-03-01,60.84,false,fakeout,4,-19.1,3.9,-19.4
CIEN,darvas_box,2024-08-15,54.31,true,confirmed,13,3.4,9.1,-6.7
CIEN,darvas_box,2024-09-23,61.68,true,confirmed,9,7.9,13.3,-3.4
CIEN,darvas_box,2024-11-07,70.32,false,marginal,7,4.6,4.9,-6.7
CIEN,darvas_box,2024-12-06,73.58,true,confirmed,4,11.3,24.8,-4.1
CIEN,darvas_box,2025-01-22,94.85,false,fakeout,3,-8.9,6.9,-21.0
CIEN,darvas_box,2025-06-04,83.89,false,fakeout,1,-3.0,-0.7,-15.6
CIEN,darvas_box,2025-07-23,86.75,true,confirmed,6,-0.1,13.2,-2.7
CIEN,darvas_box,2025-08-12,96.4,false,confirmed,2,34.7,36.3,-12.4
CIEN,darvas_box,2025-09-04,116.92,true,confirmed,4,30.6,31.4,-2.8
CIEN,darvas_box,2025-12-09,214.35,true,confirmed,2,5.1,21.8,-5.9
CIEN,darvas_box,2026-01-06,254.19,false,confirmed,2,-0.3,12.5,-15.0
CIEN,darvas_box,2026-02-02,268.49,false,confirmed,2,24.1,36.3,-11.1
CIEN,darvas_box,2026-03-17,370.05,true,confirmed,1,28.6,38.8,-2.3
CIEN,darvas_box,2026-04-02,447.76,false,confirmed,2,19.5,22.8,-5.9
CIEN,darvas_box,2026-04-23,515.85,false,confirmed,2,7.5,16.1,-10.6
CIEN,bollinger_squeeze,2021-06-03,58.38,timeout_down,marginal,20,-1.0,4.6,-5.0
CIEN,bollinger_squeeze,2021-09-02,58.51,false,fakeout,2,-10.7,-0.3,-14.0
CIEN,bollinger_squeeze,2021-10-14,53.46,true,confirmed,13,13.8,15.6,-3.4
CIEN,bollinger_squeeze,2021-12-07,62.97,true,confirmed,2,19.7,24.3,-1.6
CIEN,bollinger_squeeze,2022-02-15,68.53,false,fakeout,6,-15.5,3.7,-22.2
CIEN,bollinger_squeeze,2022-07-19,49.25,true,confirmed,14,13.0,13.5,-3.4
CIEN,bollinger_squeeze,2022-10-24,43.69,true,confirmed,3,1.5,11.1,-6.0
CIEN,bollinger_squeeze,2022-12-08,51.87,false,fakeout,5,0.1,2.5,-8.3
CIEN,bollinger_squeeze,2023-03-06,50.89,false,fakeout,5,2.7,3.5,-5.8
CIEN,bollinger_squeeze,2023-03-30,51.95,false,fakeout,5,-11.4,1.4,-14.6
CIEN,bollinger_squeeze,2023-05-26,47.99,false,fakeout,6,-13.0,3.3,-14.9
CIEN,bollinger_squeeze,2023-08-29,42.83,true,confirmed,2,7.5,18.4,-0.4
CIEN,bollinger_squeeze,2023-11-14,45.67,false,marginal,20,-3.0,5.9,-5.6
CIEN,bollinger_squeeze,2024-01-05,46.43,true,confirmed,5,18.0,19.4,-0.8
CIEN,bollinger_squeeze,2024-03-01,60.84,false,fakeout,4,-19.1,3.9,-19.4
CIEN,bollinger_squeeze,2024-05-06,48.95,timeout_down,fakeout,20,-3.8,2.7,-4.4
CIEN,bollinger_squeeze,2024-07-16,51.67,false,fakeout,3,-3.9,3.8,-13.1
CIEN,bollinger_squeeze,2024-11-07,70.32,false,marginal,7,4.6,4.9,-6.7
CIEN,bollinger_squeeze,2024-12-12,84.52,true,confirmed,2,-1.2,8.6,-5.1
CIEN,bollinger_squeeze,2025-01-22,94.85,false,fakeout,3,-8.9,6.9,-21.0
CIEN,bollinger_squeeze,2025-07-28,90.55,true,confirmed,12,0.2,8.4,-6.8
CIEN,bollinger_squeeze,2025-09-04,116.92,true,confirmed,4,30.6,31.4,-2.8
CIEN,bollinger_squeeze,2025-10-08,159.66,true,confirmed,5,22.6,23.4,-4.0
CIEN,bollinger_squeeze,2025-10-29,189.27,false,confirmed,4,5.8,13.2,-11.1
CIEN,bollinger_squeeze,2025-12-10,221.85,true,confirmed,1,3.9,17.7,-9.1
CIEN,bollinger_squeeze,2026-02-02,268.49,false,confirmed,2,24.1,36.3,-11.1
CIEN,bollinger_squeeze,2026-03-18,385.26,true,confirmed,1,28.5,33.3,-6.1
CIEN,bollinger_squeeze,2026-05-06,576.79,false,fakeout,1,-3.9,3.8,-10.6
CIEN,ttm_squeeze,2021-10-28,54.34,true,confirmed,3,11.8,15.1,-0.6
CIEN,ttm_squeeze,2021-12-09,71.93,true,confirmed,12,1.6,8.8,-1.0
CIEN,ttm_squeeze,2022-12-08,51.87,false,fakeout,5,0.1,2.5,-8.3
CIEN,ttm_squeeze,2023-01-09,51.93,false,fakeout,8,-3.3,1.3,-6.6
CIEN,ttm_squeeze,2023-04-03,52.27,false,fakeout,3,-14.5,0.2,-15.1
CIEN,ttm_squeeze,2023-08-30,43.16,true,confirmed,1,9.7,17.5,6.0
CIEN,ttm_squeeze,2024-01-05,46.43,true,confirmed,5,18.0,19.4,-0.8
CIEN,ttm_squeeze,2024-07-08,48.1,true,confirmed,6,-4.8,11.5,-6.7
CIEN,ttm_squeeze,2026-02-03,276.52,false,confirmed,1,24.2,32.3,-13.7
CIEN,volume_resistance,2021-06-03,58.38,timeout_down,marginal,20,-1.0,4.6,-5.0
CIEN,volume_resistance,2021-11-02,59.16,timeout_up,marginal,20,1.4,5.7,-0.8
CIEN,volume_resistance,2021-12-09,71.93,true,confirmed,12,1.6,8.8,-1.0
CIEN,volume_resistance,2022-12-08,51.87,false,fakeout,5,0.1,2.5,-8.3
CIEN,volume_resistance,2023-08-31,49.98,false,fakeout,14,-5.4,1.5,-8.5
CIEN,volume_resistance,2024-02-06,54.91,true,confirmed,17,12.8,15.2,-3.2
CIEN,volume_resistance,2024-03-01,60.84,false,fakeout,4,-19.1,3.9,-19.4
CIEN,volume_resistance,2024-08-15,54.31,true,confirmed,13,3.4,9.1,-6.7
CIEN,volume_resistance,2024-08-30,57.65,false,confirmed,2,6.8,9.4,-12.1
CIEN,volume_resistance,2024-10-02,66.02,timeout_down,marginal,20,-2.1,5.9,-4.3
CIEN,volume_resistance,2024-12-12,84.52,true,confirmed,2,-1.2,8.6,-5.1
CIEN,volume_resistance,2025-01-22,94.85,false,fakeout,3,-8.9,6.9,-21.0
CIEN,volume_resistance,2025-05-30,80.06,false,marginal,4,1.6,7.7,-11.6
CIEN,volume_resistance,2025-08-14,91.42,false,confirmed,4,43.6,46.9,-7.7
CIEN,volume_resistance,2025-09-04,116.92,true,confirmed,4,30.6,31.4,-2.8
CIEN,volume_resistance,2025-11-14,191.71,false,confirmed,4,12.8,29.4,-12.3
CIEN,volume_resistance,2025-12-11,242.37,false,marginal,1,-3.3,7.7,-16.8
CIEN,volume_resistance,2026-02-06,271.32,true,confirmed,1,17.4,34.9,-1.7
CIEN,volume_resistance,2026-03-05,299.3,true,confirmed,3,49.6,51.4,-4.0
CIEN,volume_resistance,2026-03-20,383.89,true,confirmed,1,31.1,34.9,-5.8
CIEN,volume_resistance,2026-05-07,538.76,true,confirmed,2,2.9,11.2,0.0
CIEN,high_52w_momentum,2024-01-29,52.77,true,confirmed,9,6.4,9.4,-1.1
CIEN,high_52w_momentum,2024-02-14,57.38,false,confirmed,3,-12.5,10.2,-12.8
CIEN,high_52w_momentum,2024-03-01,60.84,false,fakeout,4,-19.1,3.9,-19.4
CIEN,high_52w_momentum,2024-10-02,66.02,timeout_down,marginal,20,-2.1,5.9,-4.3
CIEN,high_52w_momentum,2024-11-07,70.32,false,marginal,7,4.6,4.9,-6.7
CIEN,high_52w_momentum,2024-12-04,73.15,true,confirmed,6,14.3,25.5,-3.5
CIEN,high_52w_momentum,2025-01-22,94.85,false,fakeout,3,-8.9,6.9,-21.0
CIEN,high_52w_momentum,2025-09-04,116.92,true,confirmed,4,30.6,31.4,-2.8
CIEN,high_52w_momentum,2025-09-19,138.37,true,confirmed,8,23.5,27.8,-3.4
CIEN,high_52w_momentum,2025-10-06,153.25,true,confirmed,5,23.7,26.9,-3.8
CIEN,high_52w_momentum,2025-10-24,179.05,true,confirmed,4,-0.4,19.6,-6.0
CIEN,high_52w_momentum,2025-11-10,208.74,false,marginal,3,2.7,5.3,-19.4
CIEN,high_52w_momentum,2025-12-08,212.93,true,confirmed,3,21.8,22.6,-5.3
CIEN,high_52w_momentum,2026-01-02,246.06,false,confirmed,1,9.1,10.2,-12.2
CIEN,high_52w_momentum,2026-02-02,268.49,false,confirmed,2,24.1,36.3,-11.1
CIEN,high_52w_momentum,2026-02-18,310.96,true,confirmed,2,23.9,29.3,-10.5
CIEN,high_52w_momentum,2026-03-16,363.88,true,confirmed,2,28.4,41.1,-3.7
CIEN,high_52w_momentum,2026-04-02,447.76,false,confirmed,2,19.5,22.8,-5.9
CIEN,high_52w_momentum,2026-04-23,515.85,false,confirmed,2,7.5,16.1,-10.6
CIEN,high_52w_momentum,2026-05-11,581.47,false,fakeout,1,-4.6,3.0,-5.9
AAOI,donchian_20,2021-06-02,8.64,false,marginal,12,-2.0,7.1,-6.1
AAOI,donchian_20,2021-11-03,8.37,false,fakeout,2,-33.9,5.9,-34.4
AAOI,donchian_20,2022-02-16,4.31,false,fakeout,3,-23.0,5.8,-30.4
AAOI,donchian_20,2022-08-03,1.92,false,confirmed,2,25.5,58.9,-6.5
AAOI,donchian_20,2022-09-16,3.76,false,fakeout,1,-27.1,6.4,-33.0
AAOI,donchian_20,2023-01-12,2.35,true,confirmed,3,12.8,23.2,-9.4
AAOI,donchian_20,2023-02-01,2.6,true,confirmed,1,3.5,17.7,-2.3
AAOI,donchian_20,2023-02-16,2.95,false,fakeout,1,-20.0,3.1,-22.0
AAOI,donchian_20,2023-05-30,2.3,false,confirmed,2,124.8,146.5,-9.6
AAOI,donchian_20,2023-06-14,3.76,true,confirmed,1,143.1,205.3,-4.5
