Date,pct_below_200dma,n_constituents
2006-10-26,18.227848101265824,395
2006-10-27,21.772151898734176,395
2006-10-30,20.50632911392405,395
2006-10-31,21.518987341772153,395
2006-11-01,23.79746835443038,395
2006-11-02,22.78481012658228,395
2006-11-03,23.29113924050633,395
2006-11-06,22.27848101265823,395
2006-11-07,20.50632911392405,395
2006-11-08,20.2020202020202,396
2006-11-09,21.464646464646464,396
2006-11-10,20.95959595959596,396
2006-11-13,20.95959595959596,396
2006-11-14,18.68686868686869,396
2006-11-15,16.161616161616163,396
2006-11-16,16.666666666666668,396
2006-11-17,16.624685138539043,397
2006-11-20,16.876574307304786,397
2006-11-21,16.624685138539043,397
2006-11-22,15.617128463476071,397
2006-11-24,15.617128463476071,397
2006-11-27,19.143576826196472,397
2006-11-28,18.89168765743073,397
2006-11-29,16.624685138539043,397
2006-11-30,16.876574307304786,397
2006-12-01,17.12846347607053,397
2006-12-04,14.861460957178842,397
2006-12-05,13.602015113350125,397
2006-12-06,13.853904282115868,397
2006-12-07,14.105793450881611,397
2006-12-08,13.602015113350125,397
2006-12-11,13.602015113350125,397
2006-12-12,15.365239294710328,397
2006-12-13,14.861460957178842,397
2006-12-14,13.853904282115868,397
2006-12-15,14.105793450881611,397
2006-12-18,14.357682619647354,397
2006-12-19,14.861460957178842,397
2006-12-20,15.365239294710328,397
2006-12-21,17.632241813602015,397
2006-12-22,19.395465994962215,397
2006-12-26,19.395465994962215,397
2006-12-27,16.834170854271356,398
2006-12-28,17.08542713567839,398
2006-12-29,18.34170854271357,398
2007-01-03,18.09045226130653,398
2007-01-04,18.09045226130653,398
2007-01-05,19.597989949748744,398
2007-01-08,20.100502512562816,398
2007-01-09,19.09547738693467,398
